Center_Name,Type ,Region,Address,Phone
PLATEFORME DÉPARTEMENTALE DE DÉPISTAGE PRÉCOCE DE LAUTISME PEP 18,D,Centre-Val de Loire,Parc Comitec  18000  BOURGES,248232777
LA MAISON POUR LES PERSONNES AUTISTES DU DÉPARTEMENT D'EURE ET LOIR (M.D.P.A.),D,Centre-Val de Loire,34 rue du Dr Maunoury  28000  CHARTRES,237303855
Centre Universitaire de Pédopsychiatrie  DADA37,D,Centre-Val de Loire,Centre Universitaire de Pédopsychiatrie - CHRU de TOURS  37044  TOURS,247476094
PCO TND 33 Centre Hospitalier Charles Perrens,D,Nouvelle-Aquitaine,121 Rue de la Béchade 33076 BORDEAUX,556563544
PCO TND FONDATION BON SAUVEUR D'ALBY 81,D,Occitanie,7 rue de Lavazière  81025  ALBI,563485540
PCO TND CH Narbonne 11,D,Occitanie,Boulevard Dr Lacroix 11108  11108 NARBONNE,468426000
RECOLTE,D,Nouvelle-Aquitaine,10 allée du Champ Dinard 86440  MIGNE-AUXANCES,549596986
PCO TND 0-12 ans Var  UGECAM,D,Provence-Alpes-Côte d'azur,Avenue Gilles de Gennes 83160  LA VALETTE DU VAR,483420899
PCO TND OSCAR 44,D,Pays-de-la-Loire,58 ter et quater boulevard Victor Hugo 44200 NANTES,253526310
PCO TND CHU AMIENS PICARDIE 80,D,Hauts-de-France,Place Victor Pauchet 80054  AMIENS,322087698
CAMPS ARSEA Équipe de Diagnostic et dIntervention Précoce Autisme EDIPA 68,D,Grand Est,140 rue de Logelbach   68 000  COLMAR,389304086
C.A.M.S.P. Pierre Burgun AAPEI (EDIPA) Equipe de Diagnostic et d'Intervention Précoce Autisme,D,Grand Est,33 rue du Barrage 67300  SCHILTIGHEIM,388810371
(EDIPA) Equipe de Diagnostic et d'Intervention Précoce de l'Autisme NORD ALSACE 67,D,Grand Est,63 route de Marienthal 67500  HAGUENAU,388054855
PCO TND PEP2B CORSE,D,Corse,Lieu-dit Distindinu Moriani-Plage 20230 SAN NICOLAO,495387855
PCO TND 0/12 ans - FONDATION PERE FAVRON REUNION,D,DROM - PTOM (97-98),3 rue Marius et Ary Leblond  97899 SAINT LOUIS,262701102
CELLULE DE DIAGNOSTIC ADAPEI 973 GUYANE,D,DROM - PTOM (97-98),BP 727 rue Sadecky Cité Grant  97336  CAYENNE,594294377
PCO du Haut-Rhin,D,Grand Est,29 rue Kléber SESSAD CAMSP27   68800  THANN,389371038
EDIPA 1 Sud Alsace  C.A.M.S.P.,D,Grand Est,7 boulevard Roosevelt  68200  MULHOUSE,389452003
C.A.M.S.P.  A.P.F.,D,Grand Est,2A rue des alouettes  68110  ILLZACH,389528850
C.A.M.S.P.  APF,D,Grand Est,7 rue du général de Gaulle  68220  HESINGUE,389073660
EDIPA 3 : C.A.M.S.P. APEI CENTRE ALSACE,D,Grand Est,18  route de Sélestat 67730  CHATENOIS,388826870
C.A.M.S.P. DE LA BRUCHE,D,France,5 parc du Bergopre  67130  SCHIRMECK,388503335
C.A.M.S.P. APAEIIE,D,Grand Est,2 rue de lArtisanat  67700  Saverne,03.88.89.88.89
"CRA Pôle enfants 67 Unité dévaluation des Troubles du Développement Hôpital de lElsau,",D,Grand Est,15 rue Cranach    67200  STRASBOURG,388115952
CRA Pôle enfants 68,D,Grand Est,Centre Hospitalier de Rouffach 68250  ROUFFACH Cedex,389787810
PCO TND 56,D,Bretagne,6 allée Marie-Louise Trichet 56402  AURAY,297293801
PCO 17,D,Nouvelle-Aquitaine,16 Rue Pierre Loti 17104 SAINTES CEDEX,801900717
PCO - TND 76 / 27,D,Normandie,CHU de Rouen - Hôpital Charles-Nicolle Service de Pédiatrie Néonatale et Neuropédiatrie  76000  ROUEN,646710034
PCO TND 22,D,Bretagne,20 rue du Vau Méno  22000 SAINT BRIEUC,296655920
Hôpital Pitié Salpêtrière - Service de psychiatrie de l'enfant et de l'adolescent,D,Île-de-France,"47-83, bd de l'Hôpital 75013 PARIS",01 42 16 23 33 - 01 42 16 23 63
Hôpital Robert Debré - Service de Psychiatrie de l'enfant et de l'adolescent,D,Île-de-France,48 bd Sérurier  PARIS,01 40 03 47 32 - 01 40 03 23 00 (pour le diagnostic précoce)
UNITED - Centre Hospitalier de Lagny Marne-la-Vallée,D,Île-de-France,2-4 cours de la Gondoire 77600 JOSSIGNY,161106572
CREDAT - Hôpital Ste Anne - GHU Paris psychiatrie & neurosciences,D,Île-de-France,1 rue Cabanis 75014 PARIS,01 45 65 87 74 - 01 45 65 83 37
CH Interdépartemental Fondation Vallée-CDE L'ENTRETEMPS-CHU de Bicêtre,D,Île-de-France,78 Avenue du Général Leclerc 94270 LE-KREMLIN-BICETRE,149085330
PEDIATED - CH de Versailles,D,Île-de-France,177 rue de Versailles 78157 LE-CHESNAY,139639753
UNIDEP - Centre Hospitalier Jean Verdier,D,Île-de-France,Avenue du 14 juillet 93140 BONDY,148503141
Centre Expert Asperger de Versailles,D,Île-de-France,177 rue de Versailles 78157 LE CHESNAY,139639380
Centre Expert Asperger Créteil,D,Île-de-France,40 rue de Mesly 94000 CRETEIL,149813290
PDAP Gonesse 95,D,Île-de-France,2 boulevard du 19 mars 1962 95500 GONESSE,130115821
PDAP Secteur Ouest du 95,D,Île-de-France,16 rue de lEquerre 95310 SAINT OUEN LAUMONE,01 30 17 31 50 - 06 42 38 72 31
PDAP Sud 92,D,Île-de-France,32-36 rue de Bellevue  92100 BOULOGNE-BILLANCOURT,189291314
La Boussole - PDAP 75,D,Île-de-France,46 rue Henri Huchard 75018 PARIS,140258172
PDAP Marne la Vallée 77 Nord,D,Île-de-France,8 rue Henri Dunant 77400 LAGNY-SUR-MARNE,
PDAP Melun 77,D,Île-de-France,214 rue du Caporal André Joubert 77190 DAMMARIE LES LYS,181742740
PCO TND EST VAL D'OISE 95,D,Île-de-France,2 boulevard du 19 mars 1962 95500 GONESSE,182320588
PCO TND HAND-AURA 77,D,Île-de-France,77000 MELUN,185860160
PCO TND 75 HOVIA,D,Île-de-France,29 rue Violet 75015 PARIS,187039363
PCO TND  78,D,Île-de-France,177 rue de Versailles  78150  LE CHESNAY,139638669
PDAP VERNOUILLET NORD 78,D,Île-de-France,7 place Conte  78540  VERNOUILLET,184280860
PCO TND 01,D,Auvergne-Rhône-Alpes,7 Place de la Gare 01460 MONTREAL-LA-CLUSE,428441045
PCO-TND 54,D,Grand Est,12 rue de Bordeaux  54350  MONT-SAINT-MARTIN,382395232
PCO-TND 49,D,Pays-de-la-Loire,51 Rue du Vallon 49000 ANGERS,673071770
PCO-TND 44 Ouest,D,Pays-de-la-Loire,51 rue F. R. de Chateaubriand 44600  SAINT-NAZAIRE,649544977
PCO-TND 53,D,Pays-de-la-Loire,36 rue Emile Brault 53000  LAVAL,788522067
PCO-TND de Vendée,D,Pays-de-la-Loire,CHD Les Oudairies   85925 LA ROCHE SUR YON,251473500
DEDICA,D,Pays-de-la-Loire,10 rue Saint André 72000 LE MANS,243756629
PCO TND 973 GUYANE,D,DROM - PTOM (97-98),445 Chemin Sadecki 97300 CAYENNE,594290131
PCO TND 971 GUADELOUPE,D,DROM - PTOM (97-98),Rue de la Poterie 97139  LES ABYMES,590859226
PCO TND 13,D,Provence-Alpes-Côte d'azur,78 boulevard des Libérateurs 13011 MARSEILLE,491876700
PCO TND 82,D,Occitanie,8 place du Bicentenaire 82000 MONTAUBAN,563204419
PCO TND 42 / 43,D,Auvergne-Rhône-Alpes,67 rue Bergson 42100 SAINT ETIENNE,477465989
PCO TND YONNE 89,D,Bourgogne-Franche-Comté,4 avenue P. Scherrer  89000 AUXERRE,386943988
PCO Nièvre,D,Bourgogne-Franche-Comté,8 rue des Docks 58000 NEVERS,386719850
PCO TND CAMSP DU DOUBS 25,D,Bourgogne-Franche-Comté,9 Chemin de Palente 25000 BESANÇON,381477450
PCO TND CAMSP AIRE URBAINE 90,D,Bourgogne-Franche-Comté,Rue de lAs de Carreau 90000   BELFORT,384901970
PCO TND 21,D,Bourgogne-Franche-Comté,8 avenue Roland Carraz 21300 CHENOVE,380766319
PCO TND CAMSP 39,D,Bourgogne-Franche-Comté,305 Rue Désiré Monnier 39000 LONS LE SAUNIER,384485145
PCO TND 73,D,Auvergne-Rhône-Alpes,Place François Chiron  73011 CHAMBERY,479691348
PCO TND CAMSP DE CHARTRES 28,D,Centre-Val de Loire,34 rue du Docteur Maunoury 28018  CHARTRES,237303630
PCO TND 41,D,Centre-Val de Loire,Mail Pierre Charlot 41000 BLOIS,254556398
PCO TND 45,D,Centre-Val de Loire,6 Ter Place Saint-Laurent 45000  ORLÉANS,238668442
PCO TND AU FIL DE LA VIE 68,D,Grand Est,27 29 rue Kléber 68800  THANN,03 89 37 10 38 - 03 89 35 70 06
PCO TND CAMSP APF EPINAL 88,D,Grand Est,42 avenue du Rose Poirier 88000 EPINAL,329312898
PCO TND 57,D,Grand Est,2 rue Augustin Fresnel 57070 METZ,387368686
PCO TND 51,D,Grand Est,14 D allée des Landais 51100 REIMS,352020400
Plateforme TSA Meusienne 55,D,Grand Est,4 rue du Bastion St-Paul  55100  VERDUN,329737723
Plateforme TSA Nord Meurthe et Mosellane 54,D,Grand Est,12 rue de Bordeaux  54350  MONT-SAINT-MARTIN,382395232
Plateforme TSA Sud Meurthe-et-Mosellane 54,D,Grand Est,73 rue Isabey  54000 NANCY,383908671
PLATEFORME DE DIAGNOSTIC AUTISME SAINT-DIZIER 52,D,Grand Est,carrefour Henri Rollin - BP142 52108  SAINT-DIZIER,325059887
"PCO TND 59 CAMSP APF ""Valenciennes""",D,Hauts-de-France,56 rue Jean Jaurès 59410  ANZIN,327418780
PCO TND OISE 60,D,Hauts-de-France,8 rue de Setubal  60000 BEAUVAIS,344071641
PCO TND Aisne 02,D,Hauts-de-France,237 rue de Fayet 02100 SAINT-QUENTIN,323055636
PCO TND DES FLANDRES 59,D,Hauts-de-France,182-184 Boulevard Vauban 59210 COUDEKERQUE-BRANCHE,328438283
PCO TND ESPM AL 59,D,Hauts-de-France,1 rue Lommelet  59871 SAINT ANDRÉ LEZ LILLE,328385141
PCO TND PEP 62,D,Hauts-de-France,3 rue de lAbbé Pierre 62000 ARRAS,321509250
PCO TND du Littoral,D,Hauts-de-France,23 bis rue Auber 62100  CALAIS,672466767
GPA 79,D,Nouvelle-Aquitaine,11 rue de la Convention 79000 NIORT,05 49 09 79 60 / 07 57 46 10 53
ADAPEI Guyane,D,DROM - PTOM (97-98),Pôle d'Activités Sociales Chemin Sadecki Cité Grant 97300 CAYENNE,+594 594 29 01 31
Fondation Père Favron,D,DROM - PTOM (97-98),2 Rue des Aubépines 97470 SAINT-BENOIT,262512626
KALITEPOUVIV,D,DROM - PTOM (97-98),158 Rue des Rameaux 97139 LES ABYMES,590859226
PCO TND 06  0/12 ans,D,Provence-Alpes-Côte d'azur,115 Promenade des Anglais  06200 NICE,497804320
PCO TND 93,D,Île-de-France,1 rue de Rome   93110 ROSNY SOUS BOIS,178905500
PCO TND 84,D,Provence-Alpes-Côte d'azur,305 Rue Raoul Follereau 84000 AVIGNON,432759181
PCO-TND Charente,D,Nouvelle-Aquitaine,101 avenue de Varsovie 16000 ANGOULEME,517008248
PCO TND 23,D,Nouvelle-Aquitaine,28 rue Jeanne dArc  23000  GUERET,763749162
PCO TND 0/6 ans Corrèze,D,Nouvelle-Aquitaine,19 Bd du Marquisat 19000 TULLE,555172020
PCO TND 87,D,Nouvelle-Aquitaine,10 rue bougainville 87000  LIMOGES,587418872
PCO TND GERS 32,D,Occitanie,14 Rue Eugène Sue  32000 AUCH,562635536
PCO TND 09,D,Occitanie,1 rue Salvador Allende   09000  FOIX,786771670
PCO TND 11,D,Occitanie,12 Rue Henri Dunant   11100  NARBONNE,618503316
PCO TND 12 AVEYRON,D,Occitanie,1 rue de lAbbé Bessou 12000 RODEZ,978314875
PCO TND 31,D,Occitanie,Place du Docteur Bayla 31059  TOULOUSE,561776374
PCO TND 46,D,Occitanie,173 Rue Montaudié 46000 CAHORS,675076119
PCO TND 65,D,Occitanie,74 avenue d'azereix 65000  TARBES,674126015
PCO TND 66,D,Occitanie,,619709244
PCO TND 34,D,Occitanie,291 av. du Doyen Gaston Giraud 34295 MONTPELLIER,
PCO TND 10,D,Grand Est,77 Rue de Preize 10000  TROYES,325761616
PCO TND 14,D,Normandie,3 rue du Docteur Laennec    14200  HEROUVILLE SAINT-CLAIR,261671136
PCO TND 50,D,Normandie,"682 rue Jules Vallès, 50 000 SAINT-LO",06 07 01 29 02 / 06 33 70 73 17
PCO TND 61,D,Normandie,31 rue Anne-Marie Javouhey 61000  Alençon,0786516279 / 0233807199
PCO TND de l'Ardèche et de la Drôme (07/26),D,Auvergne-Rhône-Alpes,64 Allee du Concept 26500 BOURG-LÈS-VALENCE,475552554
PCO TND du Bas-Rhin,D,Grand Est,33 rue du barrage  67300  SCHILTIGHEIM,388815197
PCO TND 64 Antenne BEARN,D,Nouvelle-Aquitaine,29 avenue du 18e régiment d'infanterie   64000 PAU,631559220
PCO TND 64 Antenne Côte Basque,D,Nouvelle-Aquitaine,10 place André Emlinger 64100  BAYONNE,624721505
PDAP La Rose des Vents,D,Île-de-France,2 Avenue Dorian 75012  PARIS,170616985
PCO TND 47,D,Nouvelle-Aquitaine,36 rue de Barleté  47000  AGEN,553660612
PCO TND 40,D,Nouvelle-Aquitaine,,809109109
Centre du Neurodéveloppement Adultes - Hôpital Pitié Salpêtrière,D,Île-de-France,47 boulevard de l'Hôpital 75013 PARIS,CONTACT PAR MAIL SEULEMENT
DIP Les Comètes 94,D,Île-de-France,32 rue Paul-Francois Avet 94000 CRETEIL,675415536
PCO TND (7/12ans) 13,D,Provence-Alpes-Côte d'azur,3 square Stalingrad 13001 MARSEILLE,769001595
PCO TND (7/12ans) 76 27,D,Normandie,4 rue du bac 76000 ROUEN,277232128
PCO TND 05,D,Provence-Alpes-Côte d'azur,11 Rue des Marronniers  05000  GAP,492565035
PCO TND 08,D,Grand Est,12 Cours Briand 08000 CHARLEVILLE-MEZIERES,785947595
PCO TND 70,D,Bourgogne-Franche-Comté,1 cours François Villon 70000 VESOUL,384770077
PCO TND 24,D,Nouvelle-Aquitaine,Cité Administrative Bugeaud 24000 PERIGUEUX,553020299
PCO TND (7/12ans) 62,D,Hauts-de-France,3 boulevard Georges Besnier 62000 ARRAS,361478153
PCO TND 37,D,Centre-Val de Loire,2 boulevard Tonnellé 37000 TOURS,247477654
C3RP - Centre Ressource - Remédiation cognitive réhabilitation psycho sociale,D,Île-de-France,GHU Paris - Hôpital Sainte Anne 75014 PARIS,145658450
PCO TND 48,D,Occitanie,53 avenue du 8 mai 1945 48000 MENDE,698470443
PCO TND 94 EST,D,Île-de-France,23 avenue Ste Marie  94000 CRETEIL,157023566
PCO TND 30,D,Occitanie,60 rue Montaury 30000 NIMES,466677026
PCO TND 72,D,Pays-de-la-Loire,32 rue d'Australie 72000 LE MANS,272340760
PCO TND 92,D,Île-de-France,32-36 rue de Bellevue  92100 BOULOGNE-BILLANCOURT,189291315
PCO TND 91,D,Île-de-France,45 Avenue du Général De Gaulle 91600  SAVIGNY-SUR-ORGE,169000120
PCO TND AIX,D,Provence-Alpes-Côte d'azur,Avenue des Tamaris 13616 AIX EN PROVENCE,442335123
PCO TND Arles,D,Provence-Alpes-Côte d'azur,Centre hospitalier d'Arles - Hopital Joseph Imbert Quartier Fourchon  13637 ARLES,616862996
PCO TND Salon,D,Provence-Alpes-Côte d'azur,207 av Julien Fabre 13300 SALON DE PROVENCE,608274519
PCO TND MARTINIQUE,D,DROM - PTOM (97-98),établissements Aloès 97224 DUCOS,596748677
EMA 74,D,Auvergne-Rhône-Alpes,259 rue de Savoie 74700 SALLANCHES,450479497
PCO TND Sud (7/12ans) 29,D,Bretagne,Rue du 19 mars 1962 29120  PONT LABBE,298825640
LEA2HN,D,Auvergne-Rhône-Alpes,Hôpital Bellevue 42100 SAINT-ETIENNE,477618306
Centre Référent des Troubles dApprentissage (CRTA),D,Pays-de-la-Loire,CHU de Nantes - CRTA Immeuble Jean-Monnet rez-de-chaussée haut 30 bd Jean-Monnet  44000  NANTES,
HDJ-TND CLINIQUE BRETECHE,D,Pays-de-la-Loire,3 RUE DE LA BERAUDIER 44000 NANTES,251868686
PCO TND (7/12ans) 85,D,Pays-de-la-Loire,Route de Beaupuy 85009 MOUILLERON-LE-CAPTIF,285755019
PCO - TND 55,D,Grand Est,18 rue dAnthouard  55200 VERDUN,06 99 77 26 75 / 06 99 77 27 18
PCO TND (7/12ans) 59,D,Hauts-de-France,4 rue Jean Dauby 59300 VALENCIENNES,607310697
C2RB,D,Bourgogne-Franche-Comté,1 Bd Chanoine Kir 21033 DIJON,380424807
PCO TND 86,D,Nouvelle-Aquitaine,10 allée Champ Dinard  86440  MIGNE AUXANCES,549596986
PLATEFORME  AUTISME - TND MAYOTTE,D,DROM - PTOM (97-98),quartier de Doujani  97600 MAMOUDZOU,
PCO TND 52,D,Grand Est,4 Rue Decomble 52000  CHAUMONT,620537217
PCO TND 74,D,Auvergne-Rhône-Alpes,20 rue de l'Egalité 74800 LA ROCHE SUR FORON,673390482
EMEICO,D,Pays-de-la-Loire,208 rue Marius Lacroix - BP 519 17022 LA ROCHELLE,546459981
PCO TND AGIVR,D,Auvergne-Rhône-Alpes,227 boulevard Gambetta  69400 VILLEFRANCHE SUR SAÔNE,469372217
SITED,D,Hauts-de-France,rue Guy Boulet 60480  BREUIL LE SEC,344775086
Centre Expert Asperger CHAI,D,Auvergne-Rhône-Alpes,8 Place du Conseil national de la Résistance 38400 SAINT MARTIN D'HERES,456588801
UNITE PETAL,D,Pays-de-la-Loire,5 allée de l'Île-Gloriette 44000 NANTES,253526180
PCO TND 7/12 ans Nord Franche-Comté,D,Bourgogne-Franche-Comté,11 rue de Phaffans 90380 ROPPE,775109399
PCO TND 7/12 ans Vaucluse,D,Provence-Alpes-Côte d'azur,178 avenue lepine 84700 SORGUES,490020116
PCO TND 7/12 ans Charente,D,Nouvelle-Aquitaine,31 Rue du Stade 16400 LA COURONNE,545662121
PCO TND 7/12 ans Alpes-de-Haute-Provence,D,Provence-Alpes-Côte d'azur,118 rue des Plantiers 04100 MANOSQUE,614741593
CAMPILLES,D,Occitanie,avenue du Roussillon 66300 THUIR,468846580
PCO TND 7/12 ans,D,Occitanie,14 rue Eugène Sue 32000 AUCH,562612089
PCO TND 7/12 ans Corrèze,D,Nouvelle-Aquitaine,25 quai Gabriel Péri 19000 TULLE,555172020
CRA Nord Pas de Calais,R,Hauts-de-France,255 rue Nelson Mandela 59120 LOOS,320606259
CRA Picardie,R,Hauts-de-France,1 Rond-point du Pr Christian Cabrol 80000 AMIENS,322667540
CRA Bretagne  Unité dappui et de coordination (UAC),R,Bretagne,3 rue Edouard Belin 29200 BREST,298855890
CRA Poitou Charente,R,Nouvelle-Aquitaine,CH Henri Laborit - Pavillon Lagrange - Entrée 29 86000 POITIERS,549445759
CRA PACA Marseille,R,Provence-Alpes-Côte d'azur,270 boulevard Sainte-Marguerite ou 20 avenue Vitton 13009 MARSEILLE,491745439
CRA Languedoc-Roussillon,R,Occitanie,291 av du Doyen Giraud 34295 MONTPELLIER,467339968
CRA Corse,R,Corse,2 Pôles : Bastia et Ajaccio,495565850
CRA Guadeloupe,R,DROM - PTOM (97-98),Rue Thomas Edison  97122 BAIE-MAHAULT,590252390
CRA  Normandie,R,Normandie,27 rue des Compagnons 14000 CAEN,231065820
CRA  Normandie Seine - Eure,R,Normandie,4 Rue Paul Eluard  76300 SOTTEVILLE-LES-ROUEN,232951864
CRA de Franche-Comté,R,Bourgogne-Franche-Comté,3 rue Victor Sellier  25000 BESANCON,381218244
CRA Champagne Ardenne,R,Grand Est,Avenue du Général Knig 51090 REIMS,326783967
CRA Pays- de- la-Loire,R,Pays-de-la-Loire,4 rue Larrey 49900 ANGERS,241353121
CRA Lorraine,R,Grand Est,1 rue du Docteur Archambault 54520 LAXOU,383926676
CRA Bourgogne,R,Bourgogne-Franche-Comté,19-21 rue René Coty 21000  DIJON,380295419
CRA Rhône Alpes,R,Auvergne-Rhône-Alpes,95 boulevard Pinel 69500 BRON,437915465
CRA Alsace,R,Grand Est,13 rue Charles Sandherr 68000  COLMAR,389201195
CRA Auvergne,R,Auvergne-Rhône-Alpes,58 rue Montalembert 63000 CLERMONT-FERRAND,473751948
CRA Réunion,R,DROM - PTOM (97-98),14 ruelle Rivière 97436  SAINT LEU,+262 262 22 59 52
CRA Centre Val de Loire,R,Centre-Val de Loire,2 Boulevard tonnellé 37000 TOURS,254352424
CRA Limousin,R,Nouvelle-Aquitaine,23 Avenue Dominique Larrey   87000 LIMOGES,555058984
CRA Martinique,R,DROM - PTOM (97-98),Immeuble Antares 97200  LE LAMENTIN,+596 596 48 83 60
CRA Guyane Française,R,DROM - PTOM (97-98),10 rue des Galaxies 97300  CAYENNE,594298424
CRA Midi-Pyrénées,R,Occitanie,2 rue du lieutenant Guy Dedieu 31300 TOULOUSE,523610400
CRA PACA Antenne de Nice,R,Provence-Alpes-Côte d'azur,57 avenue de la Californie 06200 NICE,492030439
CRA Aquitaine,R,Nouvelle-Aquitaine,121 Rue de la Béchade  33000 BORDEAUX,556566719
CRAIF - Centre de Ressources Autisme Ile-de-France,R,Île-de-France,10 rue Waldeck Rochet 93300 AUBERVILLIERS,149285420
GNCRA - Groupement National des Centres Ressources Autisme,R,France,10 rue Waldeck Rochet  93300 AUBERVILLIERS,
INTIMAGIR IDF,R,Île-de-France,,623791425
INTIMAGIR LA REUNION,R,Réunion,,262254015
INTIMAGIR PACA,R,Provence-Alpes-Côte d'azur,,782570285
INTIMAGIR BFC,R,Bourgogne-Franche-Comté,,611591052
INTIMAGIR CVL,R,Centre-Val de Loire,,247760508
INTIMAGIR ARA,R,Auvergne-Rhône-Alpes,,749889879
INTIMAGIR PDL,R,Pays-de-la-Loire,,800081111
INTIMAGIR BRETAGNE,R,Bretagne,,299295016
INTIMAGIR OCCITANIE,R,Occitanie,,678234190
INTIMAGIR NORMANDIE,R,Normandie,,756214065
INTIMAGIR HDF,R,Hauts-de-France,,392100500
INTIMAGIR CORSE,R,Corse,,699542688
INTIMAGIR GE,R,Grand Est,,649481719
INTIMAGIR NA,R,Nouvelle-Aquitaine,2 rue Ronsard 33400 TALENCE,
Centre de ressources CAA - Equipe et Moi en CAA,R,Bretagne,,297826184
