Center_Name,Type ,Region,Address,Phone,Street Number,Street Name,Postal Code,City
PCO du Haut-Rhin,D,Grand Est,29 rue Kléber SESSAD CAMSP27   68800  THANN,389371038,29,rue Kléber SESSAD CAMSP27,68800,THANN
EDIPA 1 Sud Alsace  C.A.M.S.P.,D,Grand Est,7 boulevard Roosevelt  68200  MULHOUSE,389452003,7,boulevard Roosevelt,68200,MULHOUSE
C.A.M.S.P.  A.P.F.,D,Grand Est,2A rue des alouettes  68110  ILLZACH,389528850,,2A rue des alouettes,68110,ILLZACH
C.A.M.S.P.  APF,D,Grand Est,7 rue du général de Gaulle  68220  HESINGUE,389073660,7,rue du général de Gaulle,68220,HESINGUE
EDIPA 3 : C.A.M.S.P. APEI CENTRE ALSACE,D,Grand Est,18  route de Sélestat 67730  CHATENOIS,388826870,18,route de Sélestat,67730,CHATENOIS
C.A.M.S.P. DE LA BRUCHE,D,France,5 parc du Bergopre  67130  SCHIRMECK,388503335,5,parc du Bergopre,67130,SCHIRMECK
C.A.M.S.P. APAEIIE,D,Grand Est,2 rue de lArtisanat  67700  Saverne,03.88.89.88.89,2,rue de lArtisanat,67700,Saverne
"CRA Pôle enfants 67 Unité dévaluation des Troubles du Développement Hôpital de lElsau,",D,Grand Est,15 rue Cranach    67200  STRASBOURG,388115952,15,rue Cranach,67200,STRASBOURG
CRA Pôle enfants 68,D,Grand Est,Centre Hospitalier de Rouffach 68250  ROUFFACH Cedex,389787810,,Centre Hospitalier de Rouffach,68250,ROUFFACH Cedex
PCO TND 56,D,Bretagne,6 allée Marie-Louise Trichet 56402  AURAY,297293801,6,allée Marie-Louise Trichet,56402,AURAY
PCO 17,D,Nouvelle-Aquitaine,16 Rue Pierre Loti 17104 SAINTES CEDEX,801900717,16,Rue Pierre Loti,17104,SAINTES CEDEX
PCO - TND 76 / 27,D,Normandie,CHU de Rouen - Hôpital Charles-Nicolle Service de Pédiatrie Néonatale et Neuropédiatrie  76000  ROUEN,646710034,,CHU de Rouen - Hôpital Charles-Nicolle Service de Pédiatrie Néonatale et Neuropédiatrie,76000,ROUEN
PCO TND 22,D,Bretagne,20 rue du Vau Méno  22000 SAINT BRIEUC,296655920,20,rue du Vau Méno,22000,SAINT BRIEUC
Hôpital Pitié Salpêtrière - Service de psychiatrie de l'enfant et de l'adolescent,D,Île-de-France,"47-83, bd de l'Hôpital 75013 PARIS",01 42 16 23 33 - 01 42 16 23 63,,"47-83, bd de l'Hôpital",75013,PARIS
Hôpital Robert Debré - Service de Psychiatrie de l'enfant et de l'adolescent,D,Île-de-France,48 bd Sérurier  PARIS,01 40 03 47 32 - 01 40 03 23 00 (pour le diagnostic précoce),,48 bd Sérurier  PARIS,,
UNITED - Centre Hospitalier de Lagny Marne-la-Vallée,D,Île-de-France,2-4 cours de la Gondoire 77600 JOSSIGNY,161106572,,2-4 cours de la Gondoire,77600,JOSSIGNY
CREDAT - Hôpital Ste Anne - GHU Paris psychiatrie & neurosciences,D,Île-de-France,1 rue Cabanis 75014 PARIS,01 45 65 87 74 - 01 45 65 83 37,1,rue Cabanis,75014,PARIS
CH Interdépartemental Fondation Vallée-CDE L'ENTRETEMPS-CHU de Bicêtre,D,Île-de-France,78 Avenue du Général Leclerc 94270 LE-KREMLIN-BICETRE,149085330,78,Avenue du Général Leclerc,94270,LE-KREMLIN-BICETRE
PEDIATED - CH de Versailles,D,Île-de-France,177 rue de Versailles 78157 LE-CHESNAY,139639753,177,rue de Versailles,78157,LE-CHESNAY
UNIDEP - Centre Hospitalier Jean Verdier,D,Île-de-France,Avenue du 14 juillet 93140 BONDY,148503141,,Avenue du 14 juillet,93140,BONDY
Centre Expert Asperger de Versailles,D,Île-de-France,177 rue de Versailles 78157 LE CHESNAY,139639380,177,rue de Versailles,78157,LE CHESNAY
Centre Expert Asperger Créteil,D,Île-de-France,40 rue de Mesly 94000 CRETEIL,149813290,40,rue de Mesly,94000,CRETEIL
PDAP Gonesse 95,D,Île-de-France,2 boulevard du 19 mars 1962 95500 GONESSE,130115821,2,boulevard du 19 mars 1962,95500,GONESSE
PDAP Secteur Ouest du 95,D,Île-de-France,16 rue de lEquerre 95310 SAINT OUEN LAUMONE,01 30 17 31 50 - 06 42 38 72 31,16,rue de lEquerre,95310,SAINT OUEN LAUMONE
PDAP Sud 92,D,Île-de-France,32-36 rue de Bellevue  92100 BOULOGNE-BILLANCOURT,189291314,,32-36 rue de Bellevue,92100,BOULOGNE-BILLANCOURT
La Boussole - PDAP 75,D,Île-de-France,46 rue Henri Huchard 75018 PARIS,140258172,46,rue Henri Huchard,75018,PARIS
PDAP Marne la Vallée 77 Nord,D,Île-de-France,8 rue Henri Dunant 77400 LAGNY-SUR-MARNE,,8,rue Henri Dunant,77400,LAGNY-SUR-MARNE
PDAP Melun 77,D,Île-de-France,214 rue du Caporal André Joubert 77190 DAMMARIE LES LYS,181742740,214,rue du Caporal André Joubert,77190,DAMMARIE LES LYS
PCO TND EST VAL D'OISE 95,D,Île-de-France,2 boulevard du 19 mars 1962 95500 GONESSE,182320588,2,boulevard du 19 mars 1962,95500,GONESSE
PCO TND HAND-AURA 77,D,Île-de-France,77000 MELUN,185860160,,77000 MELUN,,
PCO TND 75 HOVIA,D,Île-de-France,29 rue Violet 75015 PARIS,187039363,29,rue Violet,75015,PARIS
PCO TND  78,D,Île-de-France,177 rue de Versailles  78150  LE CHESNAY,139638669,177,rue de Versailles,78150,LE CHESNAY
PDAP VERNOUILLET NORD 78,D,Île-de-France,7 place Conte  78540  VERNOUILLET,184280860,7,place Conte,78540,VERNOUILLET
PCO TND 01,D,Auvergne-Rhône-Alpes,7 Place de la Gare 01460 MONTREAL-LA-CLUSE,428441045,7,Place de la Gare,01460,MONTREAL-LA-CLUSE
PCO-TND 54,D,Grand Est,12 rue de Bordeaux  54350  MONT-SAINT-MARTIN,382395232,12,rue de Bordeaux,54350,MONT-SAINT-MARTIN
PCO-TND 49,D,Pays-de-la-Loire,51 Rue du Vallon 49000 ANGERS,673071770,51,Rue du Vallon,49000,ANGERS
PCO-TND 44 Ouest,D,Pays-de-la-Loire,51 rue F. R. de Chateaubriand 44600  SAINT-NAZAIRE,649544977,51,rue F. R. de Chateaubriand,44600,SAINT-NAZAIRE
PCO-TND 53,D,Pays-de-la-Loire,36 rue Emile Brault 53000  LAVAL,788522067,36,rue Emile Brault,53000,LAVAL
PCO-TND de Vendée,D,Pays-de-la-Loire,CHD Les Oudairies   85925 LA ROCHE SUR YON,251473500,,CHD Les Oudairies,85925,LA ROCHE SUR YON
DEDICA,D,Pays-de-la-Loire,10 rue Saint André 72000 LE MANS,243756629,10,rue Saint André,72000,LE MANS
PCO TND 973 GUYANE,D,DROM - PTOM (97-98),445 Chemin Sadecki 97300 CAYENNE,594290131,445,Chemin Sadecki,97300,CAYENNE
PCO TND 971 GUADELOUPE,D,DROM - PTOM (97-98),Rue de la Poterie 97139  LES ABYMES,590859226,,Rue de la Poterie,97139,LES ABYMES
PCO TND 13,D,Provence-Alpes-Côte d'azur,78 boulevard des Libérateurs 13011 MARSEILLE,491876700,78,boulevard des Libérateurs,13011,MARSEILLE
PCO TND 82,D,Occitanie,8 place du Bicentenaire 82000 MONTAUBAN,563204419,8,place du Bicentenaire,82000,MONTAUBAN
PCO TND 42 / 43,D,Auvergne-Rhône-Alpes,67 rue Bergson 42100 SAINT ETIENNE,477465989,67,rue Bergson,42100,SAINT ETIENNE
PCO TND YONNE 89,D,Bourgogne-Franche-Comté,4 avenue P. Scherrer  89000 AUXERRE,386943988,4,avenue P. Scherrer,89000,AUXERRE
PCO Nièvre,D,Bourgogne-Franche-Comté,8 rue des Docks 58000 NEVERS,386719850,8,rue des Docks,58000,NEVERS
PCO TND CAMSP DU DOUBS 25,D,Bourgogne-Franche-Comté,9 Chemin de Palente 25000 BESANÇON,381477450,9,Chemin de Palente,25000,BESANÇON
PCO TND CAMSP AIRE URBAINE 90,D,Bourgogne-Franche-Comté,Rue de lAs de Carreau 90000   BELFORT,384901970,,Rue de lAs de Carreau,90000,BELFORT
PCO TND 21,D,Bourgogne-Franche-Comté,8 avenue Roland Carraz 21300 CHENOVE,380766319,8,avenue Roland Carraz,21300,CHENOVE
PCO TND CAMSP 39,D,Bourgogne-Franche-Comté,305 Rue Désiré Monnier 39000 LONS LE SAUNIER,384485145,305,Rue Désiré Monnier,39000,LONS LE SAUNIER
PCO TND 73,D,Auvergne-Rhône-Alpes,Place François Chiron  73011 CHAMBERY,479691348,,Place François Chiron,73011,CHAMBERY
PCO TND CAMSP DE CHARTRES 28,D,Centre-Val de Loire,34 rue du Docteur Maunoury 28018  CHARTRES,237303630,34,rue du Docteur Maunoury,28018,CHARTRES
PCO TND 41,D,Centre-Val de Loire,Mail Pierre Charlot 41000 BLOIS,254556398,,Mail Pierre Charlot,41000,BLOIS
PCO TND 45,D,Centre-Val de Loire,6 Ter Place Saint-Laurent 45000  ORLÉANS,238668442,6,Ter Place Saint-Laurent,45000,ORLÉANS
PCO TND AU FIL DE LA VIE 68,D,Grand Est,27 29 rue Kléber 68800  THANN,03 89 37 10 38 - 03 89 35 70 06,27,29 rue Kléber,68800,THANN
PCO TND CAMSP APF EPINAL 88,D,Grand Est,42 avenue du Rose Poirier 88000 EPINAL,329312898,42,avenue du Rose Poirier,88000,EPINAL
PCO TND 57,D,Grand Est,2 rue Augustin Fresnel 57070 METZ,387368686,2,rue Augustin Fresnel,57070,METZ
PCO TND 51,D,Grand Est,14 D allée des Landais 51100 REIMS,352020400,14,D allée des Landais,51100,REIMS
Plateforme TSA Meusienne 55,D,Grand Est,4 rue du Bastion St-Paul  55100  VERDUN,329737723,4,rue du Bastion St-Paul,55100,VERDUN
Plateforme TSA Nord Meurthe et Mosellane 54,D,Grand Est,12 rue de Bordeaux  54350  MONT-SAINT-MARTIN,382395232,12,rue de Bordeaux,54350,MONT-SAINT-MARTIN
Plateforme TSA Sud Meurthe-et-Mosellane 54,D,Grand Est,73 rue Isabey  54000 NANCY,383908671,73,rue Isabey,54000,NANCY
PLATEFORME DE DIAGNOSTIC AUTISME SAINT-DIZIER 52,D,Grand Est,carrefour Henri Rollin - BP142 52108  SAINT-DIZIER,325059887,,carrefour Henri Rollin - BP142,52108,SAINT-DIZIER
"PCO TND 59 CAMSP APF ""Valenciennes""",D,Hauts-de-France,56 rue Jean Jaurès 59410  ANZIN,327418780,56,rue Jean Jaurès,59410,ANZIN
PCO TND OISE 60,D,Hauts-de-France,8 rue de Setubal  60000 BEAUVAIS,344071641,8,rue de Setubal,60000,BEAUVAIS
PCO TND Aisne 02,D,Hauts-de-France,237 rue de Fayet 02100 SAINT-QUENTIN,323055636,237,rue de Fayet,02100,SAINT-QUENTIN
PCO TND DES FLANDRES 59,D,Hauts-de-France,182-184 Boulevard Vauban 59210 COUDEKERQUE-BRANCHE,328438283,,182-184 Boulevard Vauban,59210,COUDEKERQUE-BRANCHE
PCO TND ESPM AL 59,D,Hauts-de-France,1 rue Lommelet  59871 SAINT ANDRÉ LEZ LILLE,328385141,1,rue Lommelet,59871,SAINT ANDRÉ LEZ LILLE
PCO TND PEP 62,D,Hauts-de-France,3 rue de lAbbé Pierre 62000 ARRAS,321509250,3,rue de lAbbé Pierre,62000,ARRAS
PCO TND du Littoral,D,Hauts-de-France,23 bis rue Auber 62100  CALAIS,672466767,23,bis rue Auber,62100,CALAIS
GPA 79,D,Nouvelle-Aquitaine,11 rue de la Convention 79000 NIORT,05 49 09 79 60 / 07 57 46 10 53,11,rue de la Convention,79000,NIORT
ADAPEI Guyane,D,DROM - PTOM (97-98),Pôle d'Activités Sociales Chemin Sadecki Cité Grant 97300 CAYENNE,+594 594 29 01 31,,Pôle d'Activités Sociales Chemin Sadecki Cité Grant,97300,CAYENNE
Fondation Père Favron,D,DROM - PTOM (97-98),2 Rue des Aubépines 97470 SAINT-BENOIT,262512626,2,Rue des Aubépines,97470,SAINT-BENOIT
KALITEPOUVIV,D,DROM - PTOM (97-98),158 Rue des Rameaux 97139 LES ABYMES,590859226,158,Rue des Rameaux,97139,LES ABYMES
PCO TND 06  0/12 ans,D,Provence-Alpes-Côte d'azur,115 Promenade des Anglais  06200 NICE,497804320,115,Promenade des Anglais,06200,NICE
PCO TND 93,D,Île-de-France,1 rue de Rome   93110 ROSNY SOUS BOIS,178905500,1,rue de Rome,93110,ROSNY SOUS BOIS
PCO TND 84,D,Provence-Alpes-Côte d'azur,305 Rue Raoul Follereau 84000 AVIGNON,432759181,305,Rue Raoul Follereau,84000,AVIGNON
PCO-TND Charente,D,Nouvelle-Aquitaine,101 avenue de Varsovie 16000 ANGOULEME,517008248,101,avenue de Varsovie,16000,ANGOULEME
PCO TND 23,D,Nouvelle-Aquitaine,28 rue Jeanne dArc  23000  GUERET,763749162,28,rue Jeanne dArc,23000,GUERET
PCO TND 0/6 ans Corrèze,D,Nouvelle-Aquitaine,19 Bd du Marquisat 19000 TULLE,555172020,19,Bd du Marquisat,19000,TULLE
PCO TND 87,D,Nouvelle-Aquitaine,10 rue bougainville 87000  LIMOGES,587418872,10,rue bougainville,87000,LIMOGES
PCO TND GERS 32,D,Occitanie,14 Rue Eugène Sue  32000 AUCH,562635536,14,Rue Eugène Sue,32000,AUCH
PCO TND 09,D,Occitanie,1 rue Salvador Allende   09000  FOIX,786771670,1,rue Salvador Allende,09000,FOIX
PCO TND 11,D,Occitanie,12 Rue Henri Dunant   11100  NARBONNE,618503316,12,Rue Henri Dunant,11100,NARBONNE
PCO TND 12 AVEYRON,D,Occitanie,1 rue de lAbbé Bessou 12000 RODEZ,978314875,1,rue de lAbbé Bessou,12000,RODEZ
PCO TND 31,D,Occitanie,Place du Docteur Bayla 31059  TOULOUSE,561776374,,Place du Docteur Bayla,31059,TOULOUSE
PCO TND 46,D,Occitanie,173 Rue Montaudié 46000 CAHORS,675076119,173,Rue Montaudié,46000,CAHORS
PCO TND 65,D,Occitanie,74 avenue d'azereix 65000  TARBES,674126015,74,avenue d'azereix,65000,TARBES
PCO TND 66,D,Occitanie,,619709244,,,,
PCO TND 34,D,Occitanie,291 av. du Doyen Gaston Giraud 34295 MONTPELLIER,,291,av. du Doyen Gaston Giraud,34295,MONTPELLIER
PCO TND 10,D,Grand Est,77 Rue de Preize 10000  TROYES,325761616,77,Rue de Preize,10000,TROYES
PCO TND 14,D,Normandie,3 rue du Docteur Laennec    14200  HEROUVILLE SAINT-CLAIR,261671136,3,rue du Docteur Laennec,14200,HEROUVILLE SAINT-CLAIR
PCO TND 50,D,Normandie,"682 rue Jules Vallès, 50 000 SAINT-LO",06 07 01 29 02 / 06 33 70 73 17,,"682 rue Jules Vallès, 50 000 SAINT-LO",,
PCO TND 61,D,Normandie,31 rue Anne-Marie Javouhey 61000  Alençon,0786516279 / 0233807199,31,rue Anne-Marie Javouhey,61000,Alençon
PCO TND de l'Ardèche et de la Drôme (07/26),D,Auvergne-Rhône-Alpes,64 Allee du Concept 26500 BOURG-LÈS-VALENCE,475552554,64,Allee du Concept,26500,BOURG-LÈS-VALENCE
PCO TND du Bas-Rhin,D,Grand Est,33 rue du barrage  67300  SCHILTIGHEIM,388815197,33,rue du barrage,67300,SCHILTIGHEIM
PCO TND 64 Antenne BEARN,D,Nouvelle-Aquitaine,29 avenue du 18e régiment d'infanterie   64000 PAU,631559220,29,avenue du 18e régiment d'infanterie,64000,PAU
PCO TND 64 Antenne Côte Basque,D,Nouvelle-Aquitaine,10 place André Emlinger 64100  BAYONNE,624721505,10,place André Emlinger,64100,BAYONNE
PDAP La Rose des Vents,D,Île-de-France,2 Avenue Dorian 75012  PARIS,170616985,2,Avenue Dorian,75012,PARIS
PCO TND 47,D,Nouvelle-Aquitaine,36 rue de Barleté  47000  AGEN,553660612,36,rue de Barleté,47000,AGEN
PCO TND 40,D,Nouvelle-Aquitaine,,809109109,,,,
Centre du Neurodéveloppement Adultes - Hôpital Pitié Salpêtrière,D,Île-de-France,47 boulevard de l'Hôpital 75013 PARIS,CONTACT PAR MAIL SEULEMENT,47,boulevard de l'Hôpital,75013,PARIS
DIP Les Comètes 94,D,Île-de-France,32 rue Paul-Francois Avet 94000 CRETEIL,675415536,32,rue Paul-Francois Avet,94000,CRETEIL
PCO TND (7/12ans) 13,D,Provence-Alpes-Côte d'azur,3 square Stalingrad 13001 MARSEILLE,769001595,3,square Stalingrad,13001,MARSEILLE
PCO TND (7/12ans) 76 27,D,Normandie,4 rue du bac 76000 ROUEN,277232128,4,rue du bac,76000,ROUEN
PCO TND 05,D,Provence-Alpes-Côte d'azur,11 Rue des Marronniers  05000  GAP,492565035,11,Rue des Marronniers,05000,GAP
PCO TND 08,D,Grand Est,12 Cours Briand 08000 CHARLEVILLE-MEZIERES,785947595,12,Cours Briand,08000,CHARLEVILLE-MEZIERES
PCO TND 70,D,Bourgogne-Franche-Comté,1 cours François Villon 70000 VESOUL,384770077,1,cours François Villon,70000,VESOUL
PCO TND 24,D,Nouvelle-Aquitaine,Cité Administrative Bugeaud 24000 PERIGUEUX,553020299,,Cité Administrative Bugeaud,24000,PERIGUEUX
PCO TND (7/12ans) 62,D,Hauts-de-France,3 boulevard Georges Besnier 62000 ARRAS,361478153,3,boulevard Georges Besnier,62000,ARRAS
PCO TND 37,D,Centre-Val de Loire,2 boulevard Tonnellé 37000 TOURS,247477654,2,boulevard Tonnellé,37000,TOURS
C3RP - Centre Ressource - Remédiation cognitive réhabilitation psycho sociale,D,Île-de-France,GHU Paris - Hôpital Sainte Anne 75014 PARIS,145658450,,GHU Paris - Hôpital Sainte Anne,75014,PARIS
PCO TND 48,D,Occitanie,53 avenue du 8 mai 1945 48000 MENDE,698470443,53,avenue du 8 mai 1945,48000,MENDE
PCO TND 94 EST,D,Île-de-France,23 avenue Ste Marie  94000 CRETEIL,157023566,23,avenue Ste Marie,94000,CRETEIL
PCO TND 30,D,Occitanie,60 rue Montaury 30000 NIMES,466677026,60,rue Montaury,30000,NIMES
PCO TND 72,D,Pays-de-la-Loire,32 rue d'Australie 72000 LE MANS,272340760,32,rue d'Australie,72000,LE MANS
PCO TND 92,D,Île-de-France,32-36 rue de Bellevue  92100 BOULOGNE-BILLANCOURT,189291315,,32-36 rue de Bellevue,92100,BOULOGNE-BILLANCOURT
PCO TND 91,D,Île-de-France,45 Avenue du Général De Gaulle 91600  SAVIGNY-SUR-ORGE,169000120,45,Avenue du Général De Gaulle,91600,SAVIGNY-SUR-ORGE
PCO TND AIX,D,Provence-Alpes-Côte d'azur,Avenue des Tamaris 13616 AIX EN PROVENCE,442335123,,Avenue des Tamaris,13616,AIX EN PROVENCE
PCO TND Arles,D,Provence-Alpes-Côte d'azur,Centre hospitalier d'Arles - Hopital Joseph Imbert Quartier Fourchon  13637 ARLES,616862996,,Centre hospitalier d'Arles - Hopital Joseph Imbert Quartier Fourchon,13637,ARLES
PCO TND Salon,D,Provence-Alpes-Côte d'azur,207 av Julien Fabre 13300 SALON DE PROVENCE,608274519,207,av Julien Fabre,13300,SALON DE PROVENCE
PCO TND MARTINIQUE,D,DROM - PTOM (97-98),établissements Aloès 97224 DUCOS,596748677,,établissements Aloès,97224,DUCOS
EMA 74,D,Auvergne-Rhône-Alpes,259 rue de Savoie 74700 SALLANCHES,450479497,259,rue de Savoie,74700,SALLANCHES
PCO TND Sud (7/12ans) 29,D,Bretagne,Rue du 19 mars 1962 29120  PONT LABBE,298825640,,Rue du 19 mars 1962,29120,PONT LABBE
LEA2HN,D,Auvergne-Rhône-Alpes,Hôpital Bellevue 42100 SAINT-ETIENNE,477618306,,Hôpital Bellevue,42100,SAINT-ETIENNE
Centre Référent des Troubles dApprentissage (CRTA),D,Pays-de-la-Loire,CHU de Nantes - CRTA Immeuble Jean-Monnet rez-de-chaussée haut 30 bd Jean-Monnet  44000  NANTES,,,CHU de Nantes - CRTA Immeuble Jean-Monnet rez-de-chaussée haut 30 bd Jean-Monnet,44000,NANTES
HDJ-TND CLINIQUE BRETECHE,D,Pays-de-la-Loire,3 RUE DE LA BERAUDIER 44000 NANTES,251868686,3,RUE DE LA BERAUDIER,44000,NANTES
PCO TND (7/12ans) 85,D,Pays-de-la-Loire,Route de Beaupuy 85009 MOUILLERON-LE-CAPTIF,285755019,,Route de Beaupuy,85009,MOUILLERON-LE-CAPTIF
PCO - TND 55,D,Grand Est,18 rue dAnthouard  55200 VERDUN,06 99 77 26 75 / 06 99 77 27 18,18,rue dAnthouard,55200,VERDUN
PCO TND (7/12ans) 59,D,Hauts-de-France,4 rue Jean Dauby 59300 VALENCIENNES,607310697,4,rue Jean Dauby,59300,VALENCIENNES
C2RB,D,Bourgogne-Franche-Comté,1 Bd Chanoine Kir 21033 DIJON,380424807,1,Bd Chanoine Kir,21033,DIJON
PCO TND 86,D,Nouvelle-Aquitaine,10 allée Champ Dinard  86440  MIGNE AUXANCES,549596986,10,allée Champ Dinard,86440,MIGNE AUXANCES
PLATEFORME  AUTISME - TND MAYOTTE,D,DROM - PTOM (97-98),quartier de Doujani  97600 MAMOUDZOU,,,quartier de Doujani,97600,MAMOUDZOU
PCO TND 52,D,Grand Est,4 Rue Decomble 52000  CHAUMONT,620537217,4,Rue Decomble,52000,CHAUMONT
PCO TND 74,D,Auvergne-Rhône-Alpes,20 rue de l'Egalité 74800 LA ROCHE SUR FORON,673390482,20,rue de l'Egalité,74800,LA ROCHE SUR FORON
EMEICO,D,Pays-de-la-Loire,208 rue Marius Lacroix - BP 519 17022 LA ROCHELLE,546459981,208,rue Marius Lacroix - BP 519,17022,LA ROCHELLE
